time[s],velocity[m/s],displacement[ft]
1007,6,18126
1008,6,18144
1009,6,18162
1010,6,18180
1011,6,18198
1012,6,18216
1013,6,18234
1014,6,18252
1015,6,18270
1016,6,18288
1017,6,18306
1018,6,18324
1019,6,18342
1020,6,18360
1021,6,18378
1022,6,18396
1023,6,18414
1024,6,18432
1025,6,18450
1026,6,18468
1027,6,18486
1028,6,18504
1029,6,18522
1030,6,18540
1031,6,18558
1032,6,18576
1033,6,18594
1034,6,18612
1035,6,18630
1036,6,18648
1037,6,18666
1038,6,18684
1039,6,18702
1040,6,18720
1041,6,18738
1042,6,18756
1043,6,18774
1044,6,18792
1045,6,18810
1046,6,18828
1047,6,18846
1048,6,18864
1049,6,18882
1050,6,18900
1051,6,18918
1052,6,18936
1053,6,18954
1054,6,18972
1055,6,18990
1056,6,19008
1057,6,19026
1058,6,19044
1059,6,19062
1060,6,19080
1061,6,19098
1062,6,19116
1063,6,19134
1064,6,19152
1065,6,19170
1066,6,19188
1067,6,19206
1068,6,19224
1069,6,19242
1070,6,19260
1071,6,19278
1072,6,19296
1073,6,19314
1074,6,19332
1075,6,19350
1076,6,19368
1077,6,19386
1078,6,19404
1079,6,19422
1080,6,19440
1081,6,19458
1082,6,19476
1083,6,19494
1084,6,19512
1085,6,19530
1086,6,19548
1087,6,19566
1088,6,19584
1089,6,19602
1090,6,19620
1091,6,19638
1092,6,19656
1093,6,19674
1094,6,19692
1095,6,19710
1096,6,19728
1097,6,19746
1098,6,19764
1099,6,19782
